name,status,city,zip
Local Institution,Withdrawn,Little Rock,72205
Local Institution,Not yet recruiting,Fresno,93701
Local Institution,Withdrawn,Long Beach,90813
Division Of Hematology & Oncology Ctr. For Health Sciences,"Active, not recruiting",Los Angeles,90095
University of Colorado Denver,Recruiting,Aurora,80045
Yale University School Of Medicine,Completed,New Haven,06520
Local Institution,Withdrawn,Gainesville,32608
Local Institution,Withdrawn,Miami,33136
Cancer Institute Of Florida,Recruiting,Orlando,32804
Local Institution,Withdrawn,Tampa,33612-9497
Local Institution,Withdrawn,Atlanta,30322
Local Institution,Not yet recruiting,Skokie,60077
Indiana University Melvin & Bren Simon Cancer Center,Recruiting,Indianapolis,46202
Local Institution,Withdrawn,Lafayette,47905
University Of Kansas Medical Center,Recruiting,Kansas City,66205
The Sidney Kimmel Comprehensive Cancer Center,Recruiting,Baltimore,21231
Dana Farber Cancer Institute,Recruiting,Boston,02215
Dana-Farber Cancer Institute,Recruiting,Boston,02215
University Of Michigan Health System,"Active, not recruiting",Ann Arbor,48109
Mayo Clinic,Recruiting,Rochester,55905
Local Institution,Withdrawn,Saint Louis,63110
Nebraska Cancer Specialists,Recruiting,Omaha,68130
John Theurer Cancer Center,"Active, not recruiting",Hackensack,07601
Memorial Sloan Kettering Cancer Center,Recruiting,New York,10065
Local Institution,Withdrawn,Cleveland,44195
Ohio State University,Recruiting,Columbus,43210
Local Institution,Withdrawn,Oklahoma City,73142
OHSU Center for Hematologic Malignancies,Recruiting,Portland,97239
Abramson Cancer Center,Completed,Philadelphia,19104
Fox Chase Cancer Center,"Active, not recruiting",Philadelphia,19111
Local Institution,Not yet recruiting,Pittsburgh,15232
Local Institution,Not yet recruiting,Knoxville,37920
Local Institution,Withdrawn,Murray,84107
Local Institution,Not yet recruiting,Saint George,84770
Huntsman Cancer Institute At The Univ. Of Utah,Recruiting,Salt Lake City,84112
Local Institution,Withdrawn,Salt Lake City,84143-0001
Local Institution,Withdrawn,Milwaukee,53226
Local Institution,Not yet recruiting,Impact Migration,9000
Local Institution,Not yet recruiting,Sint-Niklaas,9100
Local Institution,Not yet recruiting,Yvoir,5530
Local Institution,Not yet recruiting,Nantes,44093
Local Institution,Recruiting,Poitiers,86021
Local Institution,Not yet recruiting,Athens,11528
Local Institution,Not yet recruiting,Chorzow,41-500
Local Institution,Not yet recruiting,Poznan,60-569
Local Institution,Not yet recruiting,Warszawa,02-776
Local Institution,Not yet recruiting,Wroclaw,50-367
